clone_type,clone_id,generation,occurrences,line_length,char_length,entropy,unique_words,total_words,ttr,identifier_density,cyclomatic_complexity,cross_file_spread,directory_spread,original_code,type2_code,locations,human_feedback
Type 1,11,1,3,2,13,3.1808,2,2,1.0,1.0,0,3,1,"        buf = NULL;
    }","<ID> = <ID>;
}","[{""file"": ""../_code_examples/solution_better/programs/unique.c"", ""start_line"": 16, ""end_line"": 17}, {""file"": ""../_code_examples/solution_better/programs/sort.c"", ""start_line"": 16, ""end_line"": 17}, {""file"": ""../_code_examples/solution_better/programs/mismatch.c"", ""start_line"": 24, ""end_line"": 25}]",NOISE
Type 1,12,1,3,2,11,3.2776,1,1,1.0,0.0,0,2,2,"            continue;
        }","continue;
}","[{""file"": ""../_code_examples/solution_better/programs/fsrecursive.c"", ""start_line"": 51, ""end_line"": 52}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 25, ""end_line"": 26}, {""file"": ""../_code_examples/solution_low_quality/programs/fsrecursive.c"", ""start_line"": 30, ""end_line"": 31}]",NOISE
Type 1,13,1,3,2,72,4.0532,5,8,0.625,1.0,0,1,1,"    assert(trie_contains(&trie, ""abc""));
    assert(trie_contains(&trie, ""cd""));","<ID>(<ID>(&<ID>, """"));
<ID>(<ID>(&<ID>, """"));","[{""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 14, ""end_line"": 15}, {""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 20, ""end_line"": 21}, {""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 26, ""end_line"": 27}]",TRUE
Type 1,14,1,3,2,25,3.8137,3,3,1.0,1.0,0,1,1,"	assert(vector_ok(vec));
}","<ID>(<ID>(<ID>));
}","[{""file"": ""../_code_examples/solution_better/programs/lib/vector.h"", ""start_line"": 54, ""end_line"": 55}, {""file"": ""../_code_examples/solution_better/programs/lib/vector.h"", ""start_line"": 63, ""end_line"": 64}, {""file"": ""../_code_examples/solution_better/programs/lib/vector.h"", ""start_line"": 70, ""end_line"": 71}]",NOISE
Type 1,15,1,3,2,10,3.3219,2,2,1.0,0.5,0,2,1,"        exit(1);
    }","<ID>(<<ID>>);
}","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 8, ""end_line"": 9}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 24, ""end_line"": 25}, {""file"": ""../_code_examples/solution_low_quality/programs/sort.c"", ""start_line"": 41, ""end_line"": 42}]",NOISE
Type 1,16,1,3,3,16,3.125,2,2,1.0,0.5,0,3,1,"    }
}


int main() {","}
}
int <ID>() {","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 71, ""end_line"": 75}, {""file"": ""../_code_examples/solution_low_quality/programs/sort.c"", ""start_line"": 28, ""end_line"": 31}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 100, ""end_line"": 103}]",NOISE
Type 1,17,1,3,3,33,4.3896,5,5,1.0,0.4,0,3,1,"}


int main() {
    // creates a 1024 byte buffer to store data, will this be enough memory to store data?
    char buffer[1024];","}
int <ID>() {
char <ID>[<<ID>>];","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 72, ""end_line"": 77}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 57, ""end_line"": 60}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 101, ""end_line"": 105}]",NOISE
Type 1,18,1,3,2,10,3.1219,1,1,1.0,1.0,0,1,1,"        input++;
    }","<ID>++;
}","[{""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 47, ""end_line"": 48}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 61, ""end_line"": 62}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 75, ""end_line"": 76}]",NOISE
Type 1,19,1,2,3,36,4.1042,4,5,0.8,0.8,0,1,1,"    assert(file != NULL);
    return file;
}","<ID>(<ID> != <ID>);
return <ID>;
}","[{""file"": ""../_code_examples/solution_better/fio/fio.c"", ""start_line"": 7, ""end_line"": 9}, {""file"": ""../_code_examples/solution_better/fio/fio.c"", ""start_line"": 13, ""end_line"": 15}]",NOISE
Type 1,20,1,2,2,10,2.4464,1,1,1.0,0.0,0,2,2,"				}

			// If we are not in a space, transition on spaces.
			} else {","}
} else {","[{""file"": ""../_code_examples/solution_better/programs/makewords.c"", ""start_line"": 35, ""end_line"": 38}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 38, ""end_line"": 39}]",NOISE
Type 1,21,1,2,2,78,4.14,9,12,0.75,0.5,0,2,1,"int main(const int argc, const char* const argv[]) {
    trie_t trie = trie_new();","int <ID>(const int <ID>, const char* const <ID>[]) {
<ID> <ID> = <ID>();","[{""file"": ""../_code_examples/solution_better/programs/unique.c"", ""start_line"": 4, ""end_line"": 5}, {""file"": ""../_code_examples/solution_better/programs/mismatch.c"", ""start_line"": 8, ""end_line"": 10}]",NOISE
Type 1,22,1,2,5,137,4.6878,15,20,0.75,0.7,2,2,1,"    size_t bytes = 0;
    char* buf = NULL;

    // Only print lines that have not been seen before.
    while(getline(&buf, &bytes, stdin) > 0) {
        // TODO: strip newline from buffer.
        if (trie_contains(&trie, buf)) continue;
        printf(""%s"", buf);","<ID> <ID> = <<ID>>;
char* <ID> = <ID>;
while(<ID>(&<ID>, &<ID>, <ID>) > <<ID>>) {
if (<ID>(&<ID>, <ID>)) continue;
<ID>("""", <ID>);","[{""file"": ""../_code_examples/solution_better/programs/unique.c"", ""start_line"": 6, ""end_line"": 13}, {""file"": ""../_code_examples/solution_better/programs/mismatch.c"", ""start_line"": 17, ""end_line"": 22}]",TRUE
Type 1,23,1,2,4,26,3.6095,3,4,0.75,1.0,0,2,1,"        free(buf);
        buf = NULL;
    }
}","<ID>(<ID>);
<ID> = <ID>;
}
}","[{""file"": ""../_code_examples/solution_better/programs/unique.c"", ""start_line"": 15, ""end_line"": 18}, {""file"": ""../_code_examples/solution_better/programs/mismatch.c"", ""start_line"": 23, ""end_line"": 26}]",TRUE
Type 1,24,1,2,2,75,4.1347,5,8,0.625,1.0,0,1,1,"    assert(!trie_contains(&trie, ""ab""));
    assert(!trie_contains(&trie, ""abcd""));","<ID>(!<ID>(&<ID>, """"));
<ID>(!<ID>(&<ID>, """"));","[{""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 10, ""end_line"": 11}, {""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 16, ""end_line"": 17}]",TRUE
Type 1,25,1,2,3,108,4.0496,6,12,0.5,1.0,0,1,1,"    assert(trie_contains(&trie, ""abc""));
    assert(trie_contains(&trie, ""cd""));
    assert(trie_contains(&trie, ""ab""));","<ID>(<ID>(&<ID>, """"));
<ID>(<ID>(&<ID>, """"));
<ID>(<ID>(&<ID>, """"));","[{""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 20, ""end_line"": 22}, {""file"": ""../_code_examples/solution_better/programs/lib/test_trie.c"", ""start_line"": 26, ""end_line"": 28}]",TRUE
Type 1,26,1,2,2,14,3.2359,2,2,1.0,0.5,0,1,1,"    return node;
}","return <ID>;
}","[{""file"": ""../_code_examples/solution_better/programs/lib/trie.h"", ""start_line"": 22, ""end_line"": 23}, {""file"": ""../_code_examples/solution_better/programs/lib/trie.h"", ""start_line"": 52, ""end_line"": 53}]",NOISE
Type 1,27,1,2,3,16,3.3278,2,2,1.0,0.5,0,1,1,"    }
    return file;
}","}
return <ID>;
}","[{""file"": ""../_code_examples/solution_low_quality/fio/fio.c"", ""start_line"": 9, ""end_line"": 11}, {""file"": ""../_code_examples/solution_low_quality/fio/fio.c"", ""start_line"": 18, ""end_line"": 20}]",NOISE
Type 1,28,1,2,4,43,4.3442,5,5,1.0,0.4,1,1,1,"                if (resultIndex >= maxLen - 1) {
                    break;
                }
            }","if (<ID> >= <ID> - <<ID>>) {
break;
}
}","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 35, ""end_line"": 38}, {""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 45, ""end_line"": 48}]",TRUE
Type 1,29,1,2,2,16,3.2028,2,2,1.0,0.5,0,2,1,"    return result;
}","return <ID>;
}","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 53, ""end_line"": 54}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 81, ""end_line"": 82}]",NOISE
Type 1,30,1,2,5,90,4.7252,10,12,0.8333,0.5833,1,2,1,"    }
}


int main() {
    // creates a 1024 byte buffer to store data, will this be enough memory to store data?
    char buffer[1024];

    // Read data from stdin and write it to stdout (standard output)
    while (fgets(buffer, sizeof(buffer), stdin) != NULL) {","}
}
int <ID>() {
char <ID>[<<ID>>];
while (<ID>(<ID>, sizeof(<ID>), <ID>) != <ID>) {","[{""file"": ""../_code_examples/solution_low_quality/programs/makewords.c"", ""start_line"": 71, ""end_line"": 80}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 100, ""end_line"": 108}]",NOISE
Type 1,31,1,2,3,52,4.1958,7,9,0.7778,0.6667,1,1,1,"    }
    
    int cmp = strcmp(word, root->word);
    if (cmp < 0) {","}
int <ID> = <ID>(<ID>, <ID>-><ID>);
if (<ID> < <<ID>>) {","[{""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 19, ""end_line"": 22}, {""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 35, ""end_line"": 38}]",NOISE
Type 1,32,1,2,2,11,3.0958,2,2,1.0,0.0,0,2,1,"        return 1;
    }","return <<ID>>;
}","[{""file"": ""../_code_examples/solution_low_quality/programs/unique.c"", ""start_line"": 43, ""end_line"": 44}, {""file"": ""../_code_examples/solution_low_quality/programs/sentence.c"", ""start_line"": 16, ""end_line"": 17}]",NOISE
Type 1,33,1,2,2,37,4.2293,4,5,0.8,0.6,1,1,1,"    char *saved = input;
    
    while (*input) {","char *<ID> = <ID>;
while (*<ID>) {","[{""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 41, ""end_line"": 43}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 55, ""end_line"": 57}]",NOISE
Type 1,34,1,2,5,28,3.7229,3,3,1.0,0.6667,0,1,1,"        }
        input++;
    }
    
    return saved;
}","}
<ID>++;
}
return <ID>;
}","[{""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 46, ""end_line"": 51}, {""file"": ""../_code_examples/solution_low_quality/programs/lowercase.c"", ""start_line"": 60, ""end_line"": 65}]",NOISE
